order,type,id,title,description,option,route,precondition
1,select,工作性質,,,jobNature,,
2,select,工作所屬產業,,,industry,,
3,select,工作設定：酬勞計算基準,,,wageBasis,,
4,input,工作設定：平日工資（金額，每月）,,,,,
5,input,工作設定：平日工資（金額，每小時）,,,,,
6,select,勞工：假日：休息日：給薪？,,,boolean,,
7,select,勞工：假日：例假日：給薪？,,,boolean,,
8,select,勞工：假日：國定假日：放假？,,,boolean,,
9,select,勞工：假日：國定假日：給薪？,,,boolean,,
10,select,勞工：假日：特別休假日：給薪？,,,boolean,,
11,select,契約約期,,,contractTerm,,
12,input,勞工：同一雇主繼續工作期間（滿年數）,,,,,
13,input,勞工：同一雇主繼續工作期間（滿月數）,,,,,
14,input,勞工：同一雇主繼續工作期間（未滿月數）,,,,,
15,input,勞工：假日：特別休假日（日數，每年）,,,,,
16,select,勞工：工會？,,,boolean,,
17,select,工作設定：工時制度,,,workingHour,,
18,input,工作設定：工時制度：一般：正常工作時間（時數，每日）,,,,,
19,input,工作設定：工時制度：一般：正常工作時間（時數，每週）,,,,,
20,input,工作設定：工時制度：一般：例假（日數，每七日）,,,,,
21,input,工作設定：工時制度：一般：放假（日數，每七日）,,,,,
22,select,工作設定：工時制度：兩週變形：指定行業？,,,boolean,,
23,select,工作設定：工時制度：兩週變形：工會同意？,,,boolean,,
24,select,工作設定：工時制度：兩週變形：勞資會議同意？,,,boolean,,
25,input,工作設定：工時制度：兩週變形：正常工作時間（時數，每週）,,,,,
26,input,工作設定：工時制度：兩週變形：正常工作時間：自其他工作日分配（時數，每日）,,,,,
27,input,工作設定：工時制度：兩週變形：正常工作時間：分配至其他工作日（日數，每二週）,,,,,
28,input,工作設定：工時制度：兩週變形：例假（日數，每二週）,,,,,
29,input,工作設定：工時制度：兩週變形：放假（日數，每二週）,,,,,
30,select,工作設定：工時制度：八週變形：指定行業？,,,boolean,,
31,select,工作設定：工時制度：八週變形：工會同意？,,,boolean,,
32,select,工作設定：工時制度：八週變形：勞資會議同意？,,,boolean,,
33,input,工作設定：工時制度：八週變形：正常工作時間（時數，每日）,,,,,
34,input,工作設定：工時制度：八週變形：正常工作時間（時數，每週）,,,,,
35,input,工作設定：工時制度：八週變形：放假（日數，每八週）,,,,,
36,select,工作設定：工時制度：四週變形：指定行業？,,,boolean,,
37,select,工作設定：工時制度：四週變形：工會同意？,,,boolean,,
