id,set,order,type,option,title,description,next,route,logic,rule
工作所屬產業,basic,1,select,industry,你的工作屬於哪個產業呢？,這邊列出的是勞基法裡面有特別寫出來的產業，有點眼花繚亂，但大部分人應該是「其他」吧,,,,
工作性質,,2,select,jobNature,工作本身有什麼特別的屬性嗎？,比方說， {TODO} 。一般沒有特別屬性的話，就是「連續性」囉！相關定義可參考： {TODO},,,,
工作設定：酬勞計算基準,,3,select,wageBasis,你的薪水是怎麼算的呢？,,,,,
工作設定：平日工資（金額，每月）,,4,input,,每個月的本薪是？,本薪指的是沒有獎金、也沒有扣除健保自付額、沒有經過任何加工計算的月薪。單位：新台幣,,,,
工作設定：平日工資（金額，每小時）,,5,input,,每個小時的時薪是？,加班的時候，每個小時的鐘點費是以多少錢計算呢？單位：新台幣,,,,
勞工：假日：休息日：給薪？,,6,select,boolean,休息日有算薪水嗎？,休息日指的是 {TODO},,,,
勞工：假日：例假日：給薪？,,7,select,boolean,例假日有算薪水嗎？,例假日指的是 {TODO},,,,
勞工：假日：國定假日：放假？,,8,select,boolean,國定假日有放假嗎？,所謂的國定假日，指的是勞動節、民間節日、國家紀念日，詳： {TODO},,,,
勞工：假日：國定假日：給薪？,,9,select,boolean,國定假日有算薪水嗎？,所謂的國定假日，指的是勞動節、民間節日、國家紀念日，詳： {TODO},,,,
勞工：假日：特別休假日：給薪？,,10,select,boolean,特別休假日有算薪水嗎？,特別休假日指的是 {TODO},,,,
勞工：同一雇主繼續工作期間（滿年數）,,11,input,,你為同一個老闆工作滿幾年了呢？,只要是同一個老闆，不同公司也要算在一起喔,,,,
勞工：同一雇主繼續工作期間（滿月數）,,12,input,,承前一題，在做滿的年數之外，滿幾個月了呢？,,,,,
勞工：同一雇主繼續工作期間（未滿月數）,,13,input,,承前一題，在做滿的年數之外，如果連沒做滿的月份一起算，是幾個月呢？,,,,,
契約約期,,14,select,contractTerm,你的工作契約期間是怎麼定的呢？,沒特別註明期限的話，就是不定期囉,,個案：不定期契約停止履行？;個案：定期契約屆滿？;個案：不定期契約停止履行？,,
個案：定期契約屆滿？,,15,select,boolean,你約滿了嗎？,定期工作契約是不是到期了,,,&&,契約約期|==|fixed
個案：定期契約屆滿：繼續工作？,,16,select,boolean,約滿後，你有繼續為老闆工作嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true
個案：定期契約屆滿：繼續工作：雇主即反對？,,17,select,boolean,約滿後，你繼續為老闆工作，他有反對嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：繼續工作？|==|true
個案：定期契約屆滿：另訂新約？,,18,select,boolean,約滿後，你跟老闆有另外簽新的工作契約嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;
個案：定期契約屆滿：另訂新約：前後契約間斷期間（月數）,,19,input,,新約開始，跟舊約結束，中間隔了幾個月呢？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
個案：定期契約屆滿：另訂新約：前後工作年資合併計算？,,20,select,boolean,新約開始後，你的年資有把舊約的年資也算進去嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
個案：定期契約屆滿：另訂新約：前後契約工作期間（日數）,,21,input,,新舊約都算的話，你總共工作了幾天呢？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
